City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,itoman,26.1247,127.6694,27.43,55,40,5.66,JP,1970-01-01
1,papatowai,-46.5619,169.4708,14.37,60,6,5.42,NZ,1970-01-01
2,port-aux-francais,-49.35,70.2167,1.86,63,66,11.9,TF,1970-01-01
3,adamstown,-25.066,-130.1015,22.65,81,100,4.23,PN,1970-01-01
4,siwa oasis,29.2041,25.5195,21.27,75,0,2.87,EG,1970-01-01
5,hawaiian paradise park,19.5933,-154.9731,26.73,82,100,2.57,US,1970-01-01
6,mount pearl,47.5166,-52.7813,4.52,66,10,4.02,CA,1970-01-01
7,poltavka,54.3663,71.7632,-1.91,94,100,7.11,RU,1970-01-01
8,vorgashor,67.5833,63.95,-18.86,99,37,1.92,RU,1970-01-01
9,mukalla,14.5425,49.1242,25.18,74,20,2.95,YE,1970-01-01
10,scone,56.4194,-3.4051,8.31,91,100,2.68,GB,1970-01-01
11,blackmans bay,-43.0167,147.3167,18.07,50,90,0.89,AU,1970-01-01
12,uturoa,-16.7333,-151.4333,26.56,78,8,6.36,PF,1970-01-01
13,aasiaat,68.7098,-52.8699,-4.26,79,100,4.31,GL,1970-01-01
14,yellowknife,62.456,-114.3525,-8.66,98,19,1.79,CA,1970-01-01
15,springs,-26.25,28.4,5.93,97,100,6.64,ZA,1970-01-01
16,puerto natales,-51.7236,-72.4875,1.87,89,94,1.32,CL,1970-01-01
17,zhangjiakou shi xuanhua qu,40.6103,115.0447,15.4,26,9,0.36,CN,1970-01-01
18,mitu,1.1983,-70.1733,22.25,98,91,0.86,CO,1970-01-01
19,olonkinbyen,70.9221,-8.7187,0.32,69,100,2.04,SJ,1970-01-01
20,waitangi,-43.9535,-176.5597,12.68,79,43,2.68,NZ,1970-01-01
21,west island,-12.1568,96.8225,27.99,74,100,7.72,CC,1970-01-01
22,holualoa,19.6228,-155.9522,27.91,59,20,4.63,US,1970-01-01
23,atafu village,-8.5421,-172.5159,29.11,69,83,6.03,TK,1970-01-01
24,grytviken,-54.2811,-36.5092,3.62,98,100,4.19,GS,1970-01-01
25,hermanus,-34.4187,19.2345,12.2,65,0,8.73,ZA,1970-01-01
26,tiksi,71.6872,128.8694,-15.54,95,99,3.18,RU,1970-01-01
27,bredasdorp,-34.5322,20.0403,12.52,57,0,7.79,ZA,1970-01-01
28,cestos city,5.46,-9.5828,26.12,81,3,1.59,LR,1970-01-01
29,lihue,21.9789,-159.3672,26.58,78,100,4.63,US,1970-01-01
30,carnarvon,-24.8667,113.6333,23.19,56,0,9.33,AU,1970-01-01
31,whitehorse,60.7161,-135.0538,-1.1,86,100,7.72,CA,1970-01-01
32,jamestown,42.097,-79.2353,8.9,97,100,2.06,US,1970-01-01
33,thompson,55.7435,-97.8558,-4.91,93,100,1.54,CA,1970-01-01
34,albany,42.6001,-73.9662,6.88,93,100,1.04,US,1970-01-01
35,petropavlovka,50.6114,105.3196,-1.94,40,100,0.78,RU,1970-01-01
36,ust-tsilma,65.441,52.1498,-5.77,79,100,4.02,RU,1970-01-01
37,bikenibeu village,1.3673,173.1241,31.98,62,20,2.06,KI,1970-01-01
38,bansang,13.4333,-14.65,24.97,89,65,2.88,GM,1970-01-01
39,trondheim,63.4305,10.3951,-2.95,75,87,2.5,NO,1970-01-01
40,iskateley,67.6803,53.1512,-8.88,86,100,5.81,RU,1970-01-01
41,ilha de mocambique,-15.0342,40.7358,25.48,83,2,0.22,MZ,1970-01-01
42,labrador city,52.9463,-66.9114,-4.05,86,75,3.6,CA,1970-01-01
43,akureyri,65.6835,-18.0878,-1.98,82,35,2.18,IS,1970-01-01
44,ishigaki,24.3448,124.1572,25.67,64,87,6.06,JP,1970-01-01
45,guiuan,11.0333,125.7247,28.8,74,61,4.48,PH,1970-01-01
46,invercargill,-46.4,168.35,17.79,54,4,2.68,NZ,1970-01-01
47,talnakh,69.4865,88.3972,-19.33,94,34,2.08,RU,1970-01-01
48,bontang,0.1333,117.5,29.24,67,14,2.23,ID,1970-01-01
49,bethel,41.3712,-73.414,9.75,89,100,1.54,US,1970-01-01
50,puerto ayora,-0.7393,-90.3518,24.19,90,100,1.34,EC,1970-01-01
51,iqaluit,63.7506,-68.5145,-12.01,91,25,6.68,CA,1970-01-01
52,broken hill,-31.95,141.4333,27.86,16,85,6.56,AU,1970-01-01
53,renigunta,13.65,79.5167,26.99,89,20,0.0,IN,1970-01-01
54,rodino,52.5,80.25,0.45,93,100,3.49,RU,1970-01-01
55,hasaki,35.7333,140.8333,22.94,58,0,7.65,JP,1970-01-01
56,edinburgh of the seven seas,-37.0676,-12.3116,10.59,67,59,12.23,SH,1970-01-01
57,baissa,7.2333,10.6333,24.61,78,98,0.36,NG,1970-01-01
58,lazaro cardenas,17.9583,-102.2,26.71,83,67,2.12,MX,1970-01-01
59,wakkanai,45.4094,141.6739,11.16,78,1,2.68,JP,1970-01-01
60,hithadhoo,-0.6,73.0833,27.16,79,29,7.22,MV,1970-01-01
61,qaqortoq,60.7167,-46.0333,4.14,76,100,6.06,GL,1970-01-01
62,odienne,9.51,-7.5692,22.22,75,0,1.57,CI,1970-01-01
63,bardai,11.65,7.2333,23.46,23,86,3.86,NG,1970-01-01
64,ladario,-19.0047,-57.6017,28.27,54,33,1.55,BR,1970-01-01
65,gadzhiyevo,69.2551,33.3362,-6.8,94,100,3.67,RU,1970-01-01
66,enewetak,11.3474,162.3373,28.91,71,90,9.24,MH,1970-01-01
67,stanley,54.868,-1.6985,7.06,96,75,3.09,GB,1970-01-01
68,kone,-21.0595,164.8658,25.37,45,2,4.92,NC,1970-01-01
69,port elizabeth,-33.918,25.5701,14.35,67,57,6.18,ZA,1970-01-01
70,jalor,25.35,72.6167,28.15,28,0,0.49,IN,1970-01-01
71,margaret river,-33.95,115.0667,15.63,53,99,4.37,AU,1970-01-01
72,san rafael del sur,11.8485,-86.4384,23.38,94,100,1.41,NI,1970-01-01
73,haiku-pauwela,20.9219,-156.3051,26.13,70,40,6.69,US,1970-01-01
74,howrah,22.5892,88.3103,27.0,69,3,2.06,IN,1970-01-01
75,tchintabaraden,15.8969,5.7985,26.22,13,6,4.07,NE,1970-01-01
76,laojunmiao,39.8333,97.7333,13.13,18,93,2.42,CN,1970-01-01
77,nova sintra,14.8667,-24.7167,22.83,68,90,2.7,CV,1970-01-01
78,muroto-misakicho,33.2833,134.15,18.47,51,0,0.74,JP,1970-01-01
79,vazante,-17.9869,-46.9078,28.13,50,99,0.97,BR,1970-01-01
80,mersa matruh,31.3525,27.2453,22.23,78,4,3.25,EG,1970-01-01
81,tsiombe,-25.3,45.4833,21.31,81,0,2.05,MG,1970-01-01
82,bilibino,68.0546,166.4372,-20.6,88,12,1.86,RU,1970-01-01
83,villa gesell,-37.2639,-56.973,15.59,57,100,7.19,AR,1970-01-01
84,vorkuta,67.5,64.0,-19.46,100,50,1.43,RU,1970-01-01
85,dunedin,-45.8742,170.5036,14.33,72,6,1.79,NZ,1970-01-01
86,egilsstadir,65.2653,-14.3948,1.79,93,99,1.82,IS,1970-01-01
87,ponta delgada,37.7333,-25.6667,15.1,88,20,2.68,PT,1970-01-01
88,vrangel',42.7297,133.0839,12.8,75,100,1.86,RU,1970-01-01
89,petropavlovsk-kamchatsky,53.0452,158.6483,3.03,59,75,3.0,RU,1970-01-01
90,new norfolk,-42.7826,147.0587,18.72,44,68,5.22,AU,1970-01-01
91,touros,-5.1989,-35.4608,24.82,81,20,6.26,BR,1970-01-01
92,isafjordur,66.0755,-23.124,1.11,81,22,1.7,IS,1970-01-01
93,isangel,-19.55,169.2667,26.06,73,40,4.63,VU,1970-01-01
94,luderitz,-26.6481,15.1594,21.06,28,14,2.86,NA,1970-01-01
95,sitka,57.0531,-135.33,6.94,70,75,2.57,US,1970-01-01
96,antsiranana,-12.2787,49.2917,24.83,78,96,7.3,MG,1970-01-01
97,mansoa,12.0733,-15.3189,24.1,95,30,2.25,GW,1970-01-01
98,kavalerovo,44.2661,135.0572,15.78,29,18,0.89,RU,1970-01-01
99,port mathurin,-19.6833,63.4167,24.87,78,12,7.0,MU,1970-01-01
100,obock,12.25,43.0833,21.66,78,80,6.32,DJ,1970-01-01
101,caister-on-sea,52.6481,1.7265,11.1,87,4,7.35,GB,1970-01-01
102,mar del plata,-38.0023,-57.5575,14.97,69,0,3.13,AR,1970-01-01
103,kaiapoi,-43.3783,172.6401,17.53,74,75,10.29,NZ,1970-01-01
104,paracale,14.2804,122.7881,29.48,69,86,5.34,PH,1970-01-01
105,oriximina,-1.7656,-55.8661,29.61,47,73,1.84,BR,1970-01-01
106,ilulissat,69.2167,-51.1,-4.99,80,40,0.51,GL,1970-01-01
107,praia,14.9215,-23.5087,25.3,73,75,2.57,CV,1970-01-01
108,inhambane,-23.865,35.3833,18.99,94,75,6.17,MZ,1970-01-01
109,tazovsky,67.4667,78.7,-16.65,95,27,0.92,RU,1970-01-01
110,mokhsogollokh,61.4681,128.9203,-8.76,80,100,1.04,RU,1970-01-01
111,loa janan,-0.583,117.095,32.53,53,11,1.83,ID,1970-01-01
112,atherton,53.5237,-2.4935,10.16,95,99,1.79,GB,1970-01-01
113,naze,28.3667,129.4833,21.11,68,23,4.07,JP,1970-01-01
114,dudinka,69.4058,86.1778,-19.1,100,67,0.73,RU,1970-01-01
115,lompoc,34.6391,-120.4579,16.62,64,0,3.13,US,1970-01-01
116,castillos,-34.1667,-53.8333,16.15,94,83,1.53,UY,1970-01-01
117,kenai,60.5544,-151.2583,5.61,83,100,8.23,US,1970-01-01
118,nuuk,64.1835,-51.7216,7.34,45,100,10.8,GL,1970-01-01
119,punta alta,-38.8759,-62.0736,9.48,71,100,9.59,AR,1970-01-01
120,alamosa,37.4695,-105.87,-4.01,68,100,2.06,US,1970-01-01
121,jaltenango de la paz,15.9167,-92.7167,16.65,93,100,0.85,MX,1970-01-01
122,ushuaia,-54.8,-68.3,-0.19,80,100,6.69,AR,1970-01-01
123,chifeng,42.2683,118.9636,11.45,25,6,3.22,CN,1970-01-01
124,mogocha,53.7333,119.7667,-4.6,42,74,2.72,RU,1970-01-01
125,badger,64.8,-147.5333,-2.58,87,0,0.0,US,1970-01-01
126,port alfred,-33.5906,26.891,14.68,62,98,7.62,ZA,1970-01-01
127,kisangani,0.5167,25.2,22.45,84,98,1.03,CD,1970-01-01
128,port blair,11.6667,92.75,29.02,79,40,2.57,IN,1970-01-01
129,port lincoln,-34.7333,135.8667,16.53,53,36,9.29,AU,1970-01-01
130,melitopol,46.8422,35.3731,11.39,66,2,2.41,UA,1970-01-01
131,winnemucca,40.973,-117.7357,-3.97,39,0,1.54,US,1970-01-01
132,danielskuil,-28.1887,23.5395,9.23,76,15,7.67,ZA,1970-01-01
133,morondava,-20.2833,44.2833,22.77,75,0,3.82,MG,1970-01-01
134,vadso,70.0744,29.7487,-4.91,86,20,4.63,NO,1970-01-01
135,constitucion,-35.3333,-72.4167,8.69,86,23,1.61,CL,1970-01-01
136,lebu,-37.6167,-73.65,7.38,63,17,1.31,CL,1970-01-01
137,concepcion de la sierra,-27.9831,-55.5203,23.69,84,42,2.03,AR,1970-01-01
138,nemuro,43.3236,145.575,10.11,67,9,2.96,JP,1970-01-01
139,calvinia,-31.4707,19.776,6.45,61,0,10.23,ZA,1970-01-01
140,sinabang,2.4803,96.3801,27.25,78,99,1.34,ID,1970-01-01
141,alice springs,-23.7,133.8833,36.75,5,18,2.57,AU,1970-01-01
142,lluta,-16.0147,-72.0142,9.55,66,37,1.46,PE,1970-01-01
143,tolanaro,-25.0319,46.9987,22.98,87,14,1.48,MG,1970-01-01
144,saipan,15.1355,145.701,31.39,70,20,6.17,MP,1970-01-01
145,duba,27.3513,35.6901,26.11,51,3,1.28,SA,1970-01-01
146,wailua homesteads,22.0669,-159.378,26.24,79,100,4.63,US,1970-01-01
147,marsh harbour,26.5412,-77.0636,25.66,77,95,9.07,BS,1970-01-01
148,sechura,-5.5569,-80.8222,21.01,75,100,7.11,PE,1970-01-01
149,salahonda,2.1019,-78.7217,25.68,90,100,3.43,CO,1970-01-01
150,fort mcmurray,56.7268,-111.381,-3.86,65,0,1.93,CA,1970-01-01
151,tsumeb,-19.2333,17.7167,23.11,24,17,1.96,NA,1970-01-01
152,georgetown,5.4112,100.3354,29.97,74,20,2.06,MY,1970-01-01
153,lamu,-2.2717,40.902,25.81,87,75,3.74,KE,1970-01-01
154,bulawayo,-20.15,28.5833,12.82,91,100,8.08,ZW,1970-01-01
155,magadan,59.5667,150.8,-0.26,72,8,0.46,RU,1970-01-01
156,zarinsk,53.7074,84.9493,-3.45,68,100,1.72,RU,1970-01-01
157,santa elena de uairen,4.6167,-61.1333,22.34,66,44,1.26,VE,1970-01-01
158,novodvinsk,64.4165,40.8122,-4.56,81,59,2.55,RU,1970-01-01
159,mimizan,44.2006,-1.2289,15.26,90,100,5.14,FR,1970-01-01
160,lubang,13.8584,120.124,28.89,71,98,8.45,PH,1970-01-01
161,colonel hill,22.7667,-74.2167,27.91,77,70,7.0,BS,1970-01-01
162,timimoun,29.2639,0.231,25.55,22,83,2.89,DZ,1970-01-01
163,bereeda,11.8704,51.0579,25.94,80,91,2.85,SO,1970-01-01
164,awjilah,29.1081,21.2869,20.39,50,0,3.04,LY,1970-01-01
165,lospalos,-8.5186,127.0025,30.14,49,73,4.88,TL,1970-01-01
166,kavaratti,10.5669,72.642,27.9,71,100,1.36,IN,1970-01-01
167,afaahiti,-17.75,-149.2833,26.7,82,40,8.22,PF,1970-01-01
168,srinivaspur,13.3333,78.2167,21.48,86,93,4.38,IN,1970-01-01
169,dunoon,55.947,-4.923,8.07,90,97,0.89,GB,1970-01-01
170,jamaame,0.0697,42.745,24.9,87,80,2.61,SO,1970-01-01
171,sevastopol,44.6,33.5333,16.03,56,0,2.2,UA,1970-01-01
172,luau,-10.7073,22.2247,19.63,84,82,1.55,AO,1970-01-01
173,akrehamn,59.2667,5.1833,8.01,65,40,5.14,NO,1970-01-01
174,nadi,-17.8,177.4167,33.0,52,40,4.12,FJ,1970-01-01
175,bogorodskoye,56.55,37.8833,-0.92,94,100,1.85,RU,1970-01-01
176,saint-felicien,48.6501,-72.4491,0.16,52,100,0.88,CA,1970-01-01
177,bauchi,10.5,10.0,22.44,31,46,1.61,NG,1970-01-01
178,longyearbyen,78.2186,15.6401,-4.09,86,40,4.12,SJ,1970-01-01
179,san ignacio rio muerto,27.4167,-110.2333,25.18,67,0,5.24,MX,1970-01-01
180,port hueneme,34.1478,-119.1951,21.99,16,0,7.72,US,1970-01-01
181,college,64.8569,-147.8028,-2.53,84,75,0.0,US,1970-01-01
182,markala,13.7021,-6.0659,28.22,45,85,2.22,ML,1970-01-01
183,montelibano,7.9829,-75.4229,24.24,93,99,1.02,CO,1970-01-01
184,champerico,14.3,-91.9167,25.49,86,100,3.69,GT,1970-01-01
185,antonio enes,-16.2325,39.9086,24.39,91,3,0.69,MZ,1970-01-01
186,preobrazheniye,42.9019,133.9064,13.94,64,42,4.56,RU,1970-01-01
187,itaguai,-22.8522,-43.7753,23.68,98,100,3.68,BR,1970-01-01
188,tura,25.5198,90.2201,24.96,73,1,0.35,IN,1970-01-01
189,el nido,11.1858,119.3956,29.76,68,99,3.37,PH,1970-01-01
190,male,4.1748,73.5089,27.02,78,100,3.37,MV,1970-01-01
191,rabaul,-4.1967,152.1721,27.58,77,75,1.62,PG,1970-01-01
192,mangaratiba,-22.9597,-44.0406,23.49,96,100,4.07,BR,1970-01-01
193,zemio,5.0314,25.1361,21.59,91,100,1.31,CF,1970-01-01
194,al ghayzah,16.2079,52.176,25.01,75,75,1.83,YE,1970-01-01
195,general pico,-35.6566,-63.7568,11.99,73,35,6.96,AR,1970-01-01
196,shahrud,36.4182,54.9763,15.01,42,74,2.21,IR,1970-01-01
197,dodge city,37.7528,-100.0171,-1.32,71,73,4.56,US,1970-01-01
198,fortuna,40.5982,-124.1573,12.51,70,0,0.0,US,1970-01-01
199,nantucket,41.2835,-70.0995,11.12,85,100,5.14,US,1970-01-01
200,chibougamau,49.9168,-74.3659,-1.21,80,100,2.06,CA,1970-01-01
201,kingston,17.997,-76.7936,26.25,92,14,0.88,JM,1970-01-01
202,fougamou,-1.2154,10.5838,23.47,99,74,0.8,GA,1970-01-01
203,benguela,-12.5763,13.4055,24.21,86,54,1.81,AO,1970-01-01
204,kolyshley,52.7005,44.5367,1.55,84,100,5.75,RU,1970-01-01
205,katsuura,35.1333,140.3,19.98,50,0,3.17,JP,1970-01-01
206,grand baie,-20.0182,57.5802,24.14,75,12,0.89,MU,1970-01-01
207,ribeira grande,38.5167,-28.7,17.45,63,100,0.1,PT,1970-01-01
208,al aaroui,35.0118,-3.0045,17.14,84,100,1.8,MA,1970-01-01
209,kilindoni,-7.9139,39.6668,26.3,83,93,4.25,TZ,1970-01-01
210,encheng,22.1839,112.3026,27.2,66,91,2.0,CN,1970-01-01
211,keflavik,64.0049,-22.5624,4.24,70,0,2.57,IS,1970-01-01
212,st. john's,47.5649,-52.7093,4.98,66,10,5.81,CA,1970-01-01
213,selfoss,63.9331,-20.9971,-1.64,72,77,2.99,IS,1970-01-01
214,hadibu,12.65,54.0333,26.11,78,98,3.79,YE,1970-01-01
215,chicholi,21.4667,79.6833,21.97,56,85,1.65,IN,1970-01-01
216,taghazout,30.5426,-9.7112,17.43,67,100,1.22,MA,1970-01-01
217,beyneu,45.3167,55.2,12.49,69,100,3.77,KZ,1970-01-01
218,hsinchu,24.8036,120.9686,27.7,72,53,1.79,TW,1970-01-01
219,kerikeri,-35.2268,173.9474,18.28,94,100,0.89,NZ,1970-01-01
220,kokopo,-4.352,152.2633,27.54,79,69,0.45,PG,1970-01-01
221,luganville,-15.5333,167.1667,26.81,75,74,3.81,VU,1970-01-01
222,casper,42.8666,-106.3131,-6.27,75,0,4.12,US,1970-01-01
223,suwannaphum,15.6035,103.8021,27.85,74,86,5.64,TH,1970-01-01
224,picos,-7.0769,-41.4669,24.5,41,81,1.24,BR,1970-01-01
225,villa sandino,12.0483,-84.9936,22.27,97,98,1.46,NI,1970-01-01
226,rudnichnyy,59.617,52.4703,-3.82,94,100,1.62,RU,1970-01-01
227,caluula,11.9661,50.7569,26.5,77,98,4.28,SO,1970-01-01
228,colonia,50.9333,6.95,12.87,81,0,5.14,DE,1970-01-01
229,chonchi,-42.6128,-73.8092,4.56,96,99,2.75,CL,1970-01-01
230,ust-nera,64.5667,143.2,-11.28,93,99,0.45,RU,1970-01-01
231,monett,36.929,-93.9277,1.76,100,100,5.97,US,1970-01-01
232,ola,59.5833,151.2833,0.08,59,6,1.21,RU,1970-01-01
233,weno,7.4515,151.8468,28.23,78,87,4.78,FM,1970-01-01
234,newnham,-41.3833,147.1333,13.81,93,100,6.69,AU,1970-01-01
235,nuku'alofa,-21.1333,-175.2,23.54,89,5,8.14,TO,1970-01-01
236,veinticinco de mayo,-35.4323,-60.1727,14.99,83,49,1.79,AR,1970-01-01
237,lawas,13.764,121.0566,30.55,70,100,3.61,PH,1970-01-01
238,tarko-sale,64.9225,77.785,-13.27,94,13,1.45,RU,1970-01-01
239,kargasok,59.0556,80.8572,-11.13,94,50,1.34,RU,1970-01-01
240,chakulia,22.4833,86.7167,24.81,59,0,1.77,IN,1970-01-01
241,anadyr,64.75,177.4833,-1.72,92,75,11.0,RU,1970-01-01
242,angaur state,6.906,134.13,28.19,76,53,4.3,PW,1970-01-01
243,yuzhno-kurilsk,44.0306,145.8556,7.99,76,5,1.24,RU,1970-01-01
244,port moresby,-9.4431,147.1797,27.67,77,67,7.65,PG,1970-01-01
245,emerald,-23.5333,148.1667,29.63,32,94,2.34,AU,1970-01-01
246,tucumcari,35.1717,-103.725,0.52,51,100,8.23,US,1970-01-01
247,mejit,10.2753,170.8646,28.0,81,100,9.57,MH,1970-01-01
248,llallagua,-18.4167,-66.6333,8.82,18,80,2.63,BO,1970-01-01
249,avarua,-21.2078,-159.775,25.03,65,40,4.12,CK,1970-01-01
250,khandyga,62.6667,135.6,-5.61,94,100,1.96,RU,1970-01-01
251,priyutnoye,46.1011,43.5072,10.7,70,5,2.93,RU,1970-01-01
252,san patricio,28.017,-97.5169,22.92,72,4,9.13,US,1970-01-01
253,jutai,-5.1833,-68.9,23.16,98,100,1.01,BR,1970-01-01
254,cabo san lucas,22.8909,-109.9124,25.9,78,0,2.06,MX,1970-01-01
255,jijel,36.8205,5.7667,22.66,42,67,4.85,DZ,1970-01-01
256,seydi,39.4816,62.9137,18.84,55,13,1.72,TM,1970-01-01
257,lata,40.1629,-8.3327,11.71,91,80,2.57,PT,1970-01-01
258,utrik,11.2278,169.8474,28.08,81,50,8.96,MH,1970-01-01
259,east london,-33.0153,27.9116,13.88,64,68,4.13,ZA,1970-01-01
260,francistown,-21.17,27.5079,15.1,80,100,11.18,BW,1970-01-01
261,kapuskasing,49.4169,-82.4331,-3.75,92,82,0.91,CA,1970-01-01
262,patterson,37.4716,-121.1297,16.55,44,0,1.76,US,1970-01-01
263,ambalangoda,6.2355,80.0538,26.51,79,100,1.96,LK,1970-01-01
264,nyandoma,61.669,40.1991,-9.33,99,78,1.52,RU,1970-01-01
265,brandon,27.9378,-82.2859,24.95,84,0,3.6,US,1970-01-01
266,new plymouth,-39.0667,174.0833,14.06,67,100,6.18,NZ,1970-01-01
267,gaiman,-43.2897,-65.4929,9.09,29,100,9.75,AR,1970-01-01
268,sullivan,36.5168,-82.5332,18.63,83,0,0.0,US,1970-01-01
269,fort bragg,35.139,-79.006,20.85,80,0,3.6,US,1970-01-01
270,sokhumi,43.0033,41.0153,16.63,71,72,2.16,GE,1970-01-01
271,sebring,27.4956,-81.4409,22.16,91,0,1.79,US,1970-01-01
272,la foa,-21.7108,165.8276,23.29,51,2,4.9,NC,1970-01-01
273,aby,58.6667,16.1833,4.61,93,75,6.69,SE,1970-01-01
274,kapit,2.0167,112.9333,28.25,78,99,1.27,MY,1970-01-01
275,bayanhongor,46.7167,100.1167,0.6,70,56,2.6,MN,1970-01-01
276,nurota,40.5614,65.6886,18.35,42,12,2.52,UZ,1970-01-01
277,zhanaozen,43.3,52.8,14.01,56,97,6.36,KZ,1970-01-01
278,ar ruways,24.1103,52.7306,27.92,66,90,4.04,AE,1970-01-01
279,punta arenas,-53.15,-70.9167,3.95,55,76,7.72,CL,1970-01-01
280,el calafate,-50.3408,-72.2768,3.19,66,3,4.08,AR,1970-01-01
281,olinda,-8.0089,-34.8553,25.85,69,40,5.66,BR,1970-01-01
282,juan griego,11.0817,-63.9655,27.74,82,29,4.31,VE,1970-01-01
283,adrar,20.5022,-10.0711,26.38,17,0,3.56,MR,1970-01-01
284,constantia,44.1833,28.65,11.38,71,0,3.28,RO,1970-01-01
285,batabano,22.7164,-82.2881,24.34,81,2,5.89,CU,1970-01-01
286,klyuchi,52.2667,79.1667,0.56,98,100,4.6,RU,1970-01-01
287,felipe carrillo puerto,19.5833,-88.05,22.67,92,0,1.29,MX,1970-01-01
288,rakops,-21.0167,24.3333,20.28,66,51,7.84,BW,1970-01-01
289,pleasanton,37.6624,-121.8747,17.41,35,0,0.0,US,1970-01-01
290,zhytkavichy,52.2168,27.8561,9.05,90,89,4.27,BY,1970-01-01
291,colby,39.3958,-101.0524,-4.82,80,0,4.63,US,1970-01-01
292,zaragoza,41.6561,-0.8773,15.25,75,75,4.63,ES,1970-01-01
293,cartagena,10.3997,-75.5144,25.79,94,20,1.03,CO,1970-01-01
294,bel ombre,-4.6167,55.4167,27.12,77,99,8.01,SC,1970-01-01
295,mysen,59.5535,11.3258,0.23,93,100,5.15,NO,1970-01-01
296,senanga,-16.1167,23.2667,21.44,65,99,2.57,ZM,1970-01-01
297,arkhangel'sk,64.5401,40.5433,-4.37,81,63,2.73,RU,1970-01-01
298,hammerfest,70.6634,23.6821,-2.75,80,75,1.03,NO,1970-01-01
299,zyryanovsk,49.7386,84.2719,1.05,100,100,0.71,KZ,1970-01-01
300,birobidzhan,48.8,132.95,5.46,49,100,1.37,RU,1970-01-01
301,fort st. john,56.2499,-120.8529,-5.28,88,100,0.54,CA,1970-01-01
302,nar'yan-mar,67.6713,53.087,-8.83,86,100,5.81,RU,1970-01-01
303,fale old settlement,-9.3852,-171.2468,28.89,71,96,5.26,TK,1970-01-01
304,pangoa,-12.1167,-73.0,20.7,99,100,0.22,PE,1970-01-01
